num_p,num_scripts,num_a,num_events,is_react,is_vue,is_angular,html_length,score
7, 16, 286, 0, 0, 0, 0, 397366, 0
21, 16, 287, 0, 0, 0, 0, 400913, 0
15, 16, 287, 0, 0, 0, 0, 399979, 0
9, 16, 295, 0, 0, 0, 0, 403302, 0
26, 16, 279, 0, 0, 0, 0, 402199, 0
14, 16, 293, 0, 0, 0, 0, 403744, 0
14, 16, 273, 0, 0, 0, 0, 393483, 0
9, 16, 294, 0, 0, 0, 0, 404176, 0
6, 16, 277, 0, 0, 0, 0, 390574, 0
10, 16, 289, 0, 0, 0, 0, 399431, 0
0, 14, 181, 0, 0, 0, 0, 531289, 0
10, 16, 291, 0, 0, 0, 0, 399284, 0
8, 16, 293, 0, 0, 0, 0, 401479, 0
14, 16, 292, 0, 0, 0, 0, 402763, 0
8, 16, 293, 0, 0, 0, 0, 401578, 0
6, 16, 289, 0, 0, 0, 0, 398356, 0
8, 16, 286, 0, 0, 0, 0, 396362, 0
12, 16, 281, 0, 0, 0, 0, 395164, 0
17, 16, 299, 0, 0, 0, 0, 405504, 0
10, 16, 292, 0, 0, 0, 0, 403164, 0
44, 16, 293, 0, 0, 0, 0, 413095, 0
29, 15, 235, 1, 0, 0, 0, 464183, 0
9, 16, 281, 0, 0, 0, 0, 393768, 0
18, 16, 276, 0, 0, 0, 0, 398361, 0
32, 15, 236, 1, 0, 0, 0, 467645, 0
0, 12, 294, 0, 0, 0, 0, 385132, 0
15, 15, 236, 1, 0, 0, 0, 497976, 0
13, 16, 298, 0, 0, 0, 0, 406901, 0
30, 15, 237, 1, 0, 0, 0, 473507, 0
13, 15, 236, 1, 0, 0, 0, 498173, 0
32, 16, 298, 0, 0, 0, 0, 412411, 0
15, 15, 234, 1, 0, 0, 0, 498428, 0
18, 16, 295, 0, 0, 0, 0, 407048, 0
20, 15, 235, 1, 0, 0, 0, 503959, 0
18, 16, 294, 0, 0, 0, 0, 406687, 0
27, 15, 238, 1, 0, 0, 0, 468408, 0
0, 12, 295, 0, 0, 0, 0, 385880, 0
0, 12, 295, 0, 0, 0, 0, 384825, 0
0, 12, 295, 0, 0, 0, 0, 385565, 0
0, 12, 296, 0, 0, 0, 0, 386117, 0
25, 16, 299, 0, 0, 0, 0, 410464, 0
0, 13, 284, 0, 0, 0, 0, 408755, 0
0, 13, 284, 0, 0, 0, 0, 409252, 0
0, 12, 294, 0, 0, 0, 0, 384754, 0
19, 16, 297, 0, 0, 0, 0, 410727, 0
23, 16, 300, 0, 0, 0, 0, 410157, 0
23, 16, 292, 0, 0, 0, 0, 406086, 0
14, 15, 233, 1, 0, 0, 0, 504042, 0
15, 16, 289, 0, 0, 0, 0, 401864, 0
17, 16, 293, 0, 0, 0, 0, 403939, 0
19, 16, 299, 0, 0, 0, 0, 409849, 0
10, 16, 281, 0, 0, 0, 0, 391065, 0
25, 16, 288, 0, 0, 0, 0, 403044, 0
27, 16, 294, 1, 0, 0, 0, 407254, 0
44, 15, 244, 2, 0, 0, 0, 483360, 0
19, 16, 290, 0, 0, 0, 0, 402417, 0
29, 16, 294, 1, 0, 0, 0, 406947, 0
11, 16, 288, 0, 0, 0, 0, 399286, 0
35, 15, 242, 2, 0, 0, 0, 473901, 0
39, 15, 233, 1, 0, 0, 0, 470896, 0
31, 15, 237, 1, 0, 0, 0, 467857, 0
22, 16, 279, 0, 0, 0, 0, 401093, 0
30, 15, 238, 1, 0, 0, 0, 473719, 0
11, 16, 283, 0, 0, 0, 0, 394961, 0
22, 16, 291, 0, 0, 0, 0, 406164, 0
10, 16, 298, 0, 0, 0, 0, 417545, 0
1, 16, 285, 0, 0, 0, 0, 399709, 0
1, 16, 292, 0, 0, 0, 0, 399756, 0
1, 16, 285, 0, 0, 0, 0, 394448, 0
41, 15, 231, 1, 0, 0, 0, 479717, 0
10, 16, 288, 0, 0, 0, 0, 398914, 0
8, 16, 279, 0, 0, 0, 0, 391362, 0
15, 16, 296, 0, 0, 0, 0, 405870, 0
